DISTRICTCODE,Date,TINF,TREC,TDEC
26,08-04-2020,1,0,1
27,08-04-2020,3,0,0
28,08-04-2020,9,2,0
29,08-04-2020,0,0,0
30,08-04-2020,0,0,0
31,08-04-2020,0,0,0
1,09-04-2020,8,0,1
2,09-04-2020,6,0,0
3,09-04-2020,10,0,0
4,09-04-2020,3,1,0
5,09-04-2020,68,17,1
6,09-04-2020,10,0,0
7,09-04-2020,0,0,0
8,09-04-2020,9,0,0
9,09-04-2020,0,0,0
10,09-04-2020,0,0,0
11,09-04-2020,12,4,0
12,09-04-2020,3,2,0
13,09-04-2020,2,0,0
14,09-04-2020,1,0,1
15,09-04-2020,0,0,0
16,09-04-2020,0,0,0
17,09-04-2020,9,2,2
18,09-04-2020,1,1,0
19,09-04-2020,0,0,0
20,09-04-2020,0,0,0
21,09-04-2020,5,0,0
22,09-04-2020,37,0,0
23,09-04-2020,0,0,0
24,09-04-2020,0,0,0
25,09-04-2020,0,0,0
26,09-04-2020,1,0,1
27,09-04-2020,3,0,0
28,09-04-2020,9,2,0
29,09-04-2020,0,0,0
30,09-04-2020,0,0,0
31,09-04-2020,0,0,0
1,10-04-2020,8,0,1
2,10-04-2020,6,0,0
3,10-04-2020,10,0,0
4,10-04-2020,4,0,0
5,10-04-2020,71,17,1
6,10-04-2020,10,0,0
7,10-04-2020,0,0,0
8,10-04-2020,9,2,0
9,10-04-2020,0,0,0
10,10-04-2020,0,0,0
11,10-04-2020,12,5,0
12,10-04-2020,3,2,0
13,10-04-2020,2,1,0
14,10-04-2020,1,0,1
15,10-04-2020,0,0,0
16,10-04-2020,0,0,0
17,10-04-2020,10,2,2
18,10-04-2020,1,1,0
19,10-04-2020,0,0,0
20,10-04-2020,0,0,0
21,10-04-2020,5,0,0
22,10-04-2020,42,1,0
23,10-04-2020,0,0,0
24,10-04-2020,0,0,0
25,10-04-2020,0,0,0
26,10-04-2020,1,0,1
27,10-04-2020,3,0,0
28,10-04-2020,9,2,0
29,10-04-2020,0,0,0
30,10-04-2020,0,0,0
31,10-04-2020,0,0,0
1,11-04-2020,8,0,1
2,11-04-2020,6,0,0
3,11-04-2020,10,0,0
4,11-04-2020,4,0,0
5,11-04-2020,73,21,1
6,11-04-2020,11,0,0
7,11-04-2020,0,0,0
8,11-04-2020,9,2,0
9,11-04-2020,0,0,0
10,11-04-2020,0,0,0
11,11-04-2020,12,5,0
12,11-04-2020,3,2,0
13,11-04-2020,2,1,0
14,11-04-2020,1,0,1
15,11-04-2020,0,0,0
16,11-04-2020,0,0,0
17,11-04-2020,10,2,2
18,11-04-2020,1,1,0
19,11-04-2020,0,0,0
20,11-04-2020,0,0,0
21,11-04-2020,5,0,0
22,11-04-2020,47,2,0
23,11-04-2020,0,0,0
24,11-04-2020,0,0,0
25,11-04-2020,0,0,0
26,11-04-2020,1,0,1
27,11-04-2020,3,0,0
28,11-04-2020,9,2,0
29,11-04-2020,0,0,0
30,11-04-2020,0,0,0
31,11-04-2020,0,0,0
