date,state,mean_r,p5th,p95th
2023-01-23,Uttarakhand,1.24,0.695,1.912
2023-01-24,Uttarakhand,0.54,0.213,0.989
2023-01-25,Uttarakhand,1.361,0.805,2.036
2023-01-26,Uttarakhand,2.795,1.973,3.735
2023-01-13,West Bengal,1.375,1.085,1.694
2023-01-14,West Bengal,1.274,1.003,1.572
2023-01-15,West Bengal,1.264,1.002,1.551
2023-01-16,West Bengal,0.694,0.508,0.904
2023-01-17,West Bengal,0.626,0.453,0.821
2023-01-18,West Bengal,0.612,0.443,0.803
2023-01-19,West Bengal,0.516,0.362,0.693
2023-01-20,West Bengal,0.554,0.391,0.74
2023-01-21,West Bengal,0.585,0.413,0.782
2023-01-22,West Bengal,0.605,0.424,0.812
2023-01-23,West Bengal,0.805,0.586,1.052
2023-01-24,West Bengal,0.626,0.428,0.855
2023-01-25,West Bengal,1.431,1.112,1.784
2023-01-26,West Bengal,3.1,2.608,3.627
