DISTRICTCODE,Date,TINF,TREC,TDEC,,,,,,
36,17/05/2020,102,68,0,,,,,,
37,17/05/2020,367,253,15,,,,,,
38,17/05/2020,611,405,19,,,,,,
39,17/05/2020,150,94,3,,,,,,
40,17/05/2020,66,63,0,,,,,,
41,17/05/2020,14,4,0,,,,,,
42,17/05/2020,75,33,1,,,,,,
43,17/05/2020,7,0,0,,,,,,
44,17/05/2020,70,51,0,,,,,,
32,18/05/2020,122,73,4,,,,,,
33,18/05/2020,192,82,0,,,,,,
34,18/05/2020,57,43,0,,,,,,
35,18/05/2020,417,315,8,,,,,,
36,18/05/2020,104,69,0,,,,,,
37,18/05/2020,382,263,15,,,,,,
38,18/05/2020,615,433,19,,,,,,
39,18/05/2020,157,94,3,,,,,,
40,18/05/2020,66,63,0,,,,,,
41,18/05/2020,14,4,0,,,,,,
42,18/05/2020,76,37,1,,,,,,
43,18/05/2020,8,0,0,,,,,,
44,18/05/2020,72,51,0,,,,,,
32,19/05/2020,29,2,2,,,,,,
33,19/05/2020,28,4,0,,,,,,
34,19/05/2020,24,8,0,,,,,,
35,19/05/2020,129,0,4,,,,,,
36,19/05/2020,37,19,0,,,,,,
37,19/05/2020,75,4,5,,,,,,
38,19/05/2020,158,1,4,,,,,,
39,19/05/2020,67,1,2,,,,,,
40,19/05/2020,44,1,0,,,,,,
41,19/05/2020,0,0,0,,,,,,
42,19/05/2020,21,16,0,,,,,,
43,19/05/2020,0,0,0,,,,,,
44,19/05/2020,35,9,0,,,,,,
32,20/06/2020,789,230,6,,,,,,
33,20/06/2020,515,268,5,,,,,,
34,20/06/2020,485,267,5,,,,,,
35,20/06/2020,742,493,11,,,,,,
36,20/06/2020,330,142,0,,,,,,
37,20/06/2020,982,428,33,,,,,,
38,20/06/2020,1247,729,33,,,,,,
39,20/06/2020,459,242,4,,,,,,
40,20/06/2020,175,95,2,,,,,,
41,20/06/2020,59,22,1,,,,,,
42,20/06/2020,261,151,1,,,,,,
43,20/06/2020,78,31,0,,,,,,
44,20/06/2020,498,105,0,,,,,,
32,21/06/2020,800,288,6,,,,,,
33,21/06/2020,562,272,6,,,,,,
34,21/06/2020,555,292,5,,,,,,
35,21/06/2020,768,501,11,,,,,,
36,21/06/2020,388,142,0,,,,,,
37,21/06/2020,1048,453,36,,,,,,
38,21/06/2020,1294,732,34,,,,,,
39,21/06/2020,471,243,4,,,,,,
40,21/06/2020,180,95,2,,,,,,
41,21/06/2020,59,22,1,,,,,,
42,21/06/2020,300,173,1,,,,,,
