DISTRICTCODE,Date,TINF,TREC,TDEC,,,,,,,,
102,31/07/2020,1387,922,7,,,,,,,,
102,01/08/2020,1392,957,7,,,,,,,,
102,02/08/2020,1408,1012,7,,,,,,,,
102,03/08/2020,1445,1037,7,,,,,,,,
102,04/08/2020,1482,1140,7,,,,,,,,
102,05/08/2020,1543,1193,8,,,,,,,,
102,06/08/2020,1576,1211,8,,,,,,,,
102,07/08/2020,1589,1240,9,,,,,,,,
102,08/08/2020,1646,1287,9,,,,,,,,
102,09/08/2020,1687,1298,9,,,,,,,,
102,10/08/2020,1750,1330,9,,,,,,,,
102,11/08/2020,1780,1357,10,,,,,,,,
102,12/08/2020,1811,1421,10,,,,,,,,
102,13/08/2020,1838,1446,10,,,,,,,,
102,14/08/2020,1933,1521,10,,,,,,,,
102,15/08/2020,1985,1553,10,,,,,,,,
102,16/08/2020,2037,1573,15,,,,,,,,
102,17/08/2020,2114,1595,16,,,,,,,,
102,18/08/2020,2237,1656,16,,,,,,,,
102,19/08/2020,2363,1704,16,,,,,,,,
102,20/08/2020,2441,1739,16,,,,,,,,
102,21/08/2020,2519,1783,17,,,,,,,,
102,22/08/2020,2581,1839,18,,,,,,,,
102,23/08/2020,2724,1927,18,,,,,,,,
102,24/08/2020,2800,1972,18,,,,,,,,
102,25/08/2020,2950,2071,18,,,,,,,,
102,26/08/2020,3078,2120,19,,,,,,,,
102,27/08/2020,3180,2239,22,,,,,,,,
102,28/08/2020,3315,2373,23,,,,,,,,
102,29/08/2020,3410,2467,24,,,,,,,,
102,30/08/2020,3522,2580,26,,,,,,,,
102,31/08/2020,3596,2668,26,,,,,,,,
102,01/09/2020,3673,2765,26,,,,,,,,
102,02/09/2020,3815,2892,26,,,,,,,,
102,03/09/2020,3889,3029,27,,,,,,,,
102,04/09/2020,4004,3102,29,,,,,,,,
102,05/09/2020,4226,3226,30,,,,,,,,
102,06/09/2020,4426,3295,31,,,,,,,,
102,07/09/2020,4686,3365,31,,,,,,,,
102,08/09/2020,4844,3471,34,,,,,,,,
102,09/09/2020,5095,3538,34,,,,,,,,
103,03/02/2020,1,0,0,,,,,,,,
103,16/02/2020,1,1,0,,,,,,,,
103,16/03/2020,2,1,0,,,,,,,,
103,19/03/2020,3,1,0,,,,,,,,
103,20/03/2020,9,1,0,,,,,,,,
103,21/03/2020,15,1,0,,,,,,,,
103,22/03/2020,20,1,0,,,,,,,,
103,23/03/2020,39,1,0,,,,,,,,
103,24/03/2020,45,1,0,,,,,,,,
103,26/03/2020,48,1,0,,,,,,,,
103,27/03/2020,82,1,0,,,,,,,,
103,28/03/2020,83,1,0,,,,,,,,
103,29/03/2020,90,1,0,,,,,,,,
103,30/03/2020,107,1,0,,,,,,,,
103,31/03/2020,109,1,0,,,,,,,,
103,01/04/2020,121,1,0,,,,,,,,
103,02/04/2020,129,1,0,,,,,,,,
103,03/04/2020,136,5,0,,,,,,,,
103,04/04/2020,142,5,0,,,,,,,,
103,05/04/2020,143,5,0,,,,,,,,
103,06/04/2020,152,5,0,,,,,,,,
103,07/04/2020,156,6,0,,,,,,,,
103,08/04/2020,157,6,0,,,,,,,,
103,09/04/2020,161,6,0,,,,,,,,
103,10/04/2020,164,24,0,,,,,,,,
103,11/04/2020,166,33,0,,,,,,,,
103,12/04/2020,166,61,0,,,,,,,,
103,13/04/2020,166,73,0,,,,,,,,
103,14/04/2020,167,79,0,,,,,,,,
103,15/04/2020,167,83,0,,,,,,,,
103,16/04/2020,168,107,0,,,,,,,,
103,17/04/2020,168,113,0,,,,,,,,
103,18/04/2020,168,115,0,,,,,,,,
103,19/04/2020,169,123,0,,,,,,,,
103,20/04/2020,169,142,0,,,,,,,,
103,21/04/2020,172,146,0,,,,,,,,
103,23/04/2020,172,152,0,,,,,,,,
103,24/04/2020,175,157,0,,,,,,,,
103,25/04/2020,175,159,0,,,,,,,,
103,26/04/2020,175,160,0,,,,,,,,
103,28/04/2020,176,162,0,,,,,,,,
103,29/04/2020,177,165,0,,,,,,,,
103,30/04/2020,178,167,0,,,,,,,,
103,01/05/2020,178,171,0,,,,,,,,
103,03/05/2020,178,172,0,,,,,,,,
103,04/05/2020,178,175,0,,,,,,,,
103,07/05/2020,178,177,0,,,,,,,,
103,10/05/2020,178,178,0,,,,,,,,
103,11/05/2020,182,178,0,,,,,,,,
103,14/05/2020,192,178,0,,,,,,,,
103,15/05/2020,193,178,0,,,,,,,,
